Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P0CS90,GO:0034605;GO:0034620;GO:0051085;GO:0032079;GO:0030150;GO:0042026;GO:0043335;GO:0006986,GO:0005737;GO:0005743;GO:0042645;GO:0005739;GO:0005634;GO:0001405,GO:0016887;GO:0042623;GO:0005524;GO:0030234;GO:0031072;GO:0051787;GO:0044183;GO:0051082
P23585,GO:0098704;GO:1904659,GO:0071944;GO:0000324;GO:0005887;GO:0005886,GO:0005351;GO:0005353;GO:0005355;GO:0015149;GO:0015578;GO:0015146
P38231,,GO:0005739,
P47010,GO:0006312;GO:1990414,GO:0016021,
Q02948,GO:0000045;GO:0006914;GO:0030242;GO:0006995;GO:0032258;GO:0045324;GO:0016236;GO:0006661;GO:0034727;GO:0006623;GO:0042147,GO:0005737;GO:0005829;GO:0010008;GO:0019898;GO:0000329;GO:0000407;GO:0034045;GO:0034271;GO:0034272;GO:0120095,
P40985,GO:0016567,GO:0005628;GO:0031499,GO:0004842
P05986,GO:0007005;GO:0010607;GO:2000766;GO:0010737;GO:0006468;GO:0007265,GO:0005952;GO:0005737;GO:0010494;GO:0005634;GO:0000932,GO:0005524;GO:0004691;GO:0004672
Q12060,GO:0006325;GO:0016573;GO:0043966;GO:0006357;GO:0006366,GO:0005671;GO:0000124;GO:0046695,GO:0003713;GO:0003712
Q00684,GO:0000422;GO:0051301;GO:0071470;GO:0007059;GO:0051229;GO:0000226;GO:0000278;GO:0071850;GO:2000786;GO:0032467;GO:0006470;GO:0007096,GO:0005935;GO:0005737;GO:0072686;GO:1990023;GO:0044732;GO:0005730;GO:0005634;GO:0030869;GO:0000922;GO:0005816,GO:0004721;GO:0004722;GO:0008138;GO:0004725
P39567,GO:0006177,GO:0005737,GO:0046872;GO:0016491
P38182,GO:0000045;GO:0006914;GO:0000422;GO:0034629;GO:0006995;GO:0032258;GO:0006888;GO:0044805;GO:0016236;GO:0061025;GO:0034727;GO:0034497;GO:0071211;GO:0016241;GO:0061709,GO:0005776;GO:0000421;GO:0033110;GO:0005737;GO:0005829;GO:0019898;GO:0000329;GO:0000407;GO:0120095,GO:0008429;GO:0031386
P38715,GO:0019568;GO:0071470;GO:0034599;GO:0042843;GO:0019388,GO:0005737;GO:0005829;GO:0005634,GO:0008106;GO:0004032;GO:0032866;GO:0003729;GO:0016491
Q99339,,,
P36007,GO:0042219;GO:0070179;GO:0006563;GO:0042866,,GO:0005524;GO:0008721;GO:0003941;GO:0000287;GO:0030170;GO:0030378;GO:0030848;GO:0018114
P14180,GO:0071555;GO:0006031;GO:1902406,GO:0030428;GO:0005935;GO:0016021,GO:0004100
P0C155,,GO:0016021,GO:0046872;GO:0004181
P47130,GO:0000754;GO:0000398;GO:0071033;GO:0016973;GO:0000973;GO:0006368,GO:0008180;GO:0005737;GO:0070390,GO:0003690;GO:0003723
P25300,GO:0007120;GO:0007121;GO:0007264,GO:0005938;GO:0005935;GO:0000131,GO:0005088
P16474,GO:0034605;GO:0034620;GO:0051085;GO:0030968;GO:0070880;GO:0000742;GO:0031204;GO:0042026;GO:0006986;GO:0006616;GO:0030433,GO:0005737;GO:0005783;GO:0034663;GO:0005788;GO:0034099;GO:0016020;GO:0005634,GO:0016887;GO:0042623;GO:0005524;GO:0031072;GO:0051787;GO:0044183;GO:0051082
P0CT04,GO:0015031;GO:0030162;GO:0042144,GO:0005737;GO:0005829;GO:0005634,GO:0004866;GO:0004867
P30952,GO:0006097;GO:0006099,GO:0005737;GO:0005829;GO:0009514;GO:0005782;GO:0005777,GO:0004474
P03879,GO:0000372;GO:0090615,GO:0009535;GO:0005739,GO:0004519;GO:0003723
P40512,GO:0000338,GO:0008180;GO:0005737,
P40209,GO:0006357,,GO:0000981;GO:0043565;GO:0008270
P04386,GO:0006012;GO:0000435;GO:0006351,GO:0005634,GO:0001228;GO:0000981;GO:0042802;GO:0000978;GO:0001085;GO:0008270
P31379,GO:0030476,GO:0005619;GO:0016021;GO:0005811;GO:0005628,
P15700,GO:0006207;GO:0006139;GO:0006221,GO:0005737;GO:0005634,GO:0004017;GO:0005524;GO:0004127;GO:0009041
P14681,GO:0007049;GO:0071310;GO:0035556;GO:0001403;GO:0043433;GO:0000750;GO:0010973;GO:0006468;GO:0010468;GO:0001402,GO:0005935;GO:0005737;GO:0005634;GO:0042597,GO:0005524;GO:0004707;GO:0004672;GO:0008134
P40068,GO:1900189;GO:1900524;GO:1900461;GO:0045944,GO:0005737;GO:0005634,GO:0001228;GO:0000978
