Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
Q03677,GO:0019509;GO:0006555,GO:0005737;GO:0005634,GO:0010308;GO:0010309;GO:0005506
P38693,,GO:0009277;GO:0000324,GO:0003993
P35719,,GO:0005737,
P48239,GO:0006749,GO:0005737;GO:0005777,GO:0045174;GO:0004364
P25693,GO:0007049;GO:0051301;GO:0000079;GO:0032878;GO:0031106,GO:0005935;GO:0005934;GO:0000307;GO:0005737;GO:0000131;GO:0005634,GO:0016538;GO:0019901
Q07521,,,
Q03262,GO:0006006;GO:0046115;GO:0006148;GO:0006166,GO:0005737;GO:0005634,GO:0000287;GO:0008973
P27801,GO:0007032;GO:0006895;GO:0006886;GO:0045324;GO:0035542;GO:0032889;GO:0042144;GO:0007033;GO:0006904;GO:0099022,GO:0005623;GO:0033263;GO:0005829;GO:0005768;GO:0000306;GO:0000329;GO:0030897,GO:0046872;GO:0030674
P23638,GO:0010498;GO:0010499;GO:0080129;GO:0043161,GO:0005737;GO:0042175;GO:0005634;GO:0005839;GO:0019773;GO:0034515,GO:0004175;GO:0004298
P40335,GO:0006886;GO:0045053;GO:0042147,GO:0005623;GO:0005737;GO:0005829;GO:0005768;GO:0000329;GO:0030906;GO:0030904,GO:0140318
Q00723,GO:0000388,GO:0071011;GO:0046540,
P39006,GO:0006656;GO:0006646;GO:0010636;GO:0010954;GO:0016540,GO:0031305;GO:0005739,GO:0004609
P39731,GO:0051301;GO:0007059;GO:0051382;GO:0000070;GO:0034501,GO:0005737;GO:0000818;GO:0000922,
P54785,GO:0071474;GO:0071470;GO:0010895;GO:0000122;GO:0045944;GO:0061393,GO:0005829;GO:0000790;GO:0005634,GO:0000981;GO:0046872;GO:0001102;GO:0000978;GO:0001103;GO:0043565
P32263,GO:0055129;GO:0006561,GO:0005737,GO:0042802;GO:0004735
Q08213,GO:0000289,GO:0030014;GO:0005737;GO:0005739;GO:0005634,GO:0000175;GO:0004519;GO:0004535
P38292,GO:0007031,GO:0005779,
P06776,GO:0019933;GO:0046069;GO:0019934,GO:0005737;GO:0005634,GO:0004115;GO:0047555;GO:0046872
Q06449,GO:0034316,GO:0030479;GO:0005737;GO:0005634,
P38335,,GO:0005737;GO:0016021;GO:0005811;GO:0005777,
P39081,GO:0006378;GO:0098789;GO:0006369;GO:0030847;GO:0030846,GO:0005737;GO:0005829;GO:0005849;GO:0005634,GO:0003729;GO:0000993
P47035,GO:0000183;GO:0001100;GO:0031030;GO:0007000;GO:1904751,GO:0005730;GO:0030869,GO:0019211;GO:0004864;GO:0000182
P40567,GO:0000398,GO:0071004,GO:0003729;GO:0030620
Q02046,GO:0009396;GO:0006730;GO:0009113;GO:0006164,GO:0005829;GO:0005634,GO:0004487;GO:0004488
P42841,GO:0006378;GO:0098789,GO:0005847,
P32336,GO:0030953;GO:0051301;GO:0051293;GO:0000073;GO:0045132;GO:0036158;GO:0031536,GO:0005623;GO:0005737;GO:0005635;GO:0061499,GO:0043014;GO:0045504;GO:0003774;GO:0035591
P07269,GO:0030154;GO:0006338;GO:0000122;GO:0043388;GO:0045937;GO:0045944;GO:2000679;GO:0120213;GO:0006141,GO:0005829;GO:0005634,GO:0001228;GO:0001227;GO:0000978;GO:0000977;GO:0043565
P34232,GO:0016973;GO:0000055;GO:0000056,GO:0042272,
P38795,GO:0009435,GO:0005737;GO:0005634,GO:0005524;GO:0004359;GO:0003952
